Asplenium trichomanes-dentatum	L.	toothed spleenwort
Asplenium uniseriale	Raddi	shinystem spleenwort
Asplenium verecundum	Chapm. ex Underw.	limestone spleenwort
Astrolepis sinuata	(Lag. ex Sw.) Benham & Windham	wavy scaly cloakfern
Asystasia gangetica	(L.) T. Anderson	Chinese violet
Atriplex cristata	Humb. & Bonpl. ex Willd.	crested saltbush
Atriplex littoralis	L.	grassleaf orache
Auerodendron pauciflorum	Alain	turtlefat
Avena sativa	L.	common oat
Averrhoa carambola	L.	carambola
Avicennia germinans	(L.) L.	black mangrove
Axonopus aureus	P. Beauv.	golden carpetgrass
Axonopus compressus	(Sw.) P. Beauv.	broadleaf carpetgrass
Axonopus fissifolius	(Raddi) Kuhlm.	common carpetgrass
Ayenia ardua	Cristobal	wingstem ayenia
Ayenia insulicola	Cristobal	dwarf ayenia
Azadirachta indica	A. Juss.	neem
Azolla caroliniana	Willd.	Carolina mosquitofern
Baccharis dioica	Vahl	broombush false willow
Baccharis myrsinites	(Lam.) Pers.	Santo Domingo false willow
Bacopa innominata	(G. Maza) Alain	tropical waterhyssop
Bacopa monnieri	(L.) Pennell	herb of grace
Bacopa repens	(Sw.) Wettst.	creeping waterhyssop
Bacopa stricta	(Schrad.) B.L. Rob.	yerba de culebra
Bambusa multiplex	(Lour.) Raeusch. ex Schult. & Schult. f.	hedge bamboo
Bambusa vulgaris	Schrad. ex J.C. Wendl.	common bamboo
Banara portoricensis	Krug & Urb.	Puerto Rico palo de ramon
Banara vanderbiltii	Urb.	Vanderbilt's palo de ramon
Banisteriopsis lucida	(Rich.) Small	paralejo de monte
Barbieria pinnata	(Pers.) Baill.	clitoria
Barleria cristata	L.	crested Philippine violet
Barleria lupulina	Lindl.	hophead Philippine violet
Barleria prionitis	L.	porcupine flower
Barleriola solanifolia	(L.) Oerst. ex Lindau	false Philippine violet
Barringtonia asiatica	(L.) Kurz	sea putat
Basella alba	L.	Ceylon spinach
Basiphyllaea corallicola	(Small) Ames	Carter's orchid
Bastardia bivalvis	(Cav.) Kunth	escoba babosa
Bastardia viscosa	(L.) Kunth	viscid mallow
Bastardia viscosa var. sanctae-crucis	(L.) Kunth	viscid mallow
Bastardia viscosa var. viscosa	(L.) Kunth	viscid mallow
Bastardiopsis eggersii	(Baker f.) Fuertes & Fryxell	Jost Van Dyke's Indian mallow
Batis maritima	L.	turtleweed
Bauhinia galpinii	N.E. Br.	African plume
Bauhinia monandra	Kurz	Napoleon's plume
Bauhinia multinervia	(Kunth) DC.	petite flamboyant bauhinia
Bauhinia pauletia	Pers.	railroadfence
