Abelmoschus esculentus	okra
Barleria cristata	crested Philippine violet
Barleria lupulina	hophead Philippine violet
Barleria prionitis	porcupine flower
Barleriola solanifolia	false Philippine violet
Barringtonia asiatica	sea putat
Basella alba	Ceylon spinach
Basiphyllaea corallicola	Carter's orchid
Bastardia bivalvis	escoba babosa
Bastardia viscosa	viscid mallow
Bastardiopsis eggersii	Jost Van Dyke's Indian mallow
Batis maritima	turtleweed
Bauhinia galpinii	African plume
Bauhinia monandra	Napoleon's plume
Bauhinia multinervia	petite flamboyant bauhinia
Bauhinia pauletia	railroadfence
Bauhinia purpurea	butterfly tree
Bauhinia tomentosa	St. Thomas tree
Bauhinia variegata	mountain ebony
Begonia coccinea	scarlet begonia
Begonia convolvulacea	morning-glory begonia
Begonia cucullata	clubed begonia
Begonia decandra	native begonia
Begonia heracleifolia	starleaf begonia
Begonia hirtella	Brazilian begonia
Begonia nelumbiifolia	lilypad begonia
Beilschmiedia pendula	slugwood
Belamcanda chinensis	blackberry lily
Bernardia dichotoma	Caribbean myrtlecroton
Beta vulgaris	common beet
Bidens alba	romerillo
Bidens cynapiifolia	West Indian beggarticks
Bidens pilosa	hairy beggarticks
Bidens reptans	manzanilla trepador
Billbergia pyramidalis	foolproofplant
Bixa orellana	lipsticktree
Blechnum divergens	ravine midsorus fern
Blechnum fragile	fragile midsorus fern
Blechnum insularum	graceful midsorus fern
Blechnum lineatum	rockbank midsorus fern
Blechnum occidentale	hammock fern
Blechnum polypodioides	narrowleaf midsorus fern
Blechnum serrulatum	toothed midsorus fern
Bletia patula	flor de pasmo
Blighia sapida	akee
Blutaparon vermiculare	silverhead
Bocconia frutescens	parrotweed
Boehmeria cylindrica	smallspike false nettle
Boehmeria nivea	Chinese grass
Boehmeria repens	West Indian false nettle
Boerhavia coccinea	scarlet spiderling
Boerhavia diffusa	red spiderling
Boerhavia erecta	erect spiderling
Boerhavia scandens	climbing wartclub
Bolbitis aliena	diamond creepingfern
Bolbitis nicotianifolia	thinleaf creepingfern
Bolbitis pergamentacea	woodland creepingfern
Bolbitis portoricensis	Puerto Rico creepingfern
Bontia daphnoides	white alling
Borrichia arborescens	tree seaside tansy
Bothriochloa ischaemum	yellow bluestem
Bothriochloa pertusa	pitted beardgrass
Bothriochloa saccharoides	silver bluestem
Botrychium jenmanii	Dixie grapefern
Bouchea prismatica	prism bouchea
Bougainvillea glabra	paperflower
Bougainvillea spectabilis	great bougainvillea
Bourreria radula	rough strongbark
Bourreria succulenta	bodywood
Bourreria virgata	roble de guayo
Bouteloua americana	American grama
Bouteloua juncea	lamilla
Bouteloua repens	slender grama
Brachionidium ciliolatum	hairy cup orchid
Brachionidium sherringii	Sherring's cup orchid
Brachyelytrum erectum	bearded shorthusk
